team,minute,player_on,player_off,penalty_role,contribution,minutes_after_entry_to_120
Paris Saint-Germain,83,Bradley Barcola,Khvicha Kvaratskhelia,No penalty,Fresh wide runner during Paris' late push.,37
Arsenal,66,Jurrien Timber,Cristhian Mosquera,No penalty,Defensive substitution before Paris equalized.,54
Arsenal,67,Viktor Gyokeres,Martin Odegaard,Scored,Converted Arsenal's first shootout kick.,53
Arsenal,83,Gabriel Martinelli,Leandro Trossard,Scored,Converted Arsenal's fourth shootout kick.,37
Arsenal,83,Noni Madueke,Bukayo Saka,No penalty,Added a late direct option on the right side.,37
Arsenal,91,Eberechi Eze,Kai Havertz,Missed,Missed Arsenal's second shootout kick.,29
Arsenal,91,Martin Zubimendi,Myles Lewis-Skelly,No penalty,Extra-time midfield stability.,29
Paris Saint-Germain,96,Goncalo Ramos,Ousmane Dembele,Scored,Converted Paris' first shootout kick after entering late.,24
Paris Saint-Germain,95,Warren Zaire-Emery,Fabian Ruiz,No penalty,Fresh legs in midfield during extra time.,25
Paris Saint-Germain,106,Illya Zabarnyi,Marquinhos,No penalty,Late defensive reset before the shootout.,14
Paris Saint-Germain,106,Lucas Beraldo,Vitinha,Scored,Converted Paris' fifth shootout kick.,14
